  UID   PID  PPID        F CPU PRI NI       SZ    RSS WCHAN     S             ADDR TTY           TIME CMD              STIME
  200   485     1     4004   0   4  0 426976384  18096 -      Ss                  0 ??         0:00.35 /System/Library/ 10:07PM
  205   486     1     4004   0   4  0 426952368   7568 -      S                   0 ??         0:00.06 /usr/libexec/tru 10:07PM
    0   491     1     4004   0   4  0 426950304   8784 -      Ss                  0 ??         0:00.26 /usr/libexec/aud 10:07PM
  202   493     1     4004   0   4  0 426949840   5088 -      Ss                  0 ??         0:00.01 /System/Library/ 10:07PM
    0   494     1     4004   0   4  0 426951392  13360 -      Ss                  0 ??         0:01.61 /System/Library/ 10:07PM
  301   495     1     4004   0   4  0 426972064  18704 -      Ss                  0 ??         0:00.17 /usr/libexec/mod 10:07PM
  205   496     1     4004   0   4  0 426949168   4720 -      S                   0 ??         0:00.05 /usr/libexec/con 10:07PM
  200   497     1     4004   0  31  0 426916496   1968 -      S                   0 ??         0:00.21 /usr/sbin/distno 10:07PM
    0   498     1     4004   0   4  0 426950704   4144 -      Ss                  0 ??         0:02.18 /Library/Apple/S 10:07PM
  262   503     1     4004   0  48  0 426954416   8672 -      Ss                  0 ??         0:00.43 /usr/sbin/appleh 10:07PM
    0   504     1     4004   0   4  0 426950352   6368 -      Ss                  0 ??         0:00.33 /usr/libexec/sec 10:07PM
  262   505     1     4004   0  37  0 426949664   6848 -      Ss                  0 ??         0:00.04 /usr/libexec/cam 10:07PM
    0   506     1     4004   0   4  0 426912736   4000 -      Ss                  0 ??         0:00.02 /System/Library/ 10:07PM
  262   507     1     4004   0  31  0 426950656   8320 -      Ss                  0 ??         0:00.07 /System/Library/ 10:07PM
    0   508     1     4004   0  31  0 426950736  11648 -      Ss                  0 ??         0:00.93 /usr/sbin/Wirele 10:07PM
   55   509     1     4004   0   4  0 426950400   5952 -      Ss                  0 ??         0:00.09 /System/Library/ 10:07PM
    0   510     1     4004   0   4  0 426949904   8800 -      Ss                  0 ??         0:01.97 /usr/libexec/fin 10:07PM
  296   511     1     4004   0   4  0 426950688   6848 -      Ss                  0 ??         0:00.19 /usr/libexec/ane 10:07PM
    0   512     1     4004   0   4  0 426950688   8432 -      Ss                  0 ??         0:02.07 /usr/libexec/ane 10:07PM
    0   513     1     4004   0   4  0 410497504  11712 -      S                   0 ??         0:00.46 /System/Library/ 10:07PM
    0   514     1     4004   0   4  0 426916016   3424 -      Ss                  0 ??         0:00.04 /usr/libexec/boo 10:07PM
    0   515     1     4004   0   4  0 426952288   7280 -      Ss                  0 ??         0:02.62 /System/Library/ 10:07PM
    0   517     1     4004   0   4  0 426976960  25808 -      Ss                  0 ??         0:05.20 /usr/libexec/sea 10:07PM
    0   518     1     4004   0   4  0 426916656   3328 -      S                   0 ??         0:00.24 /System/Library/ 10:07PM
    0   520     1     4004   0  31  0 426917680   5120 -      Ss                  0 ??         0:00.06 /System/Library/ 10:07PM
    0   521     1    34004   0  20  0 34308716   2896 -      Ss                  0 ??         0:00.24 /Library/Applica 10:07PM
  270   523     1     4004   0  63  0 426915056  34336 -      Ss                  0 ??         0:21.81 /System/Library/ 10:07PM
  270   524     1     4004   0  63  0 426851488   1200 -      Ss                  0 ??         0:00.02 /System/Library/ 10:07PM
  270   526     1     4004   0  63  0 426851696   1392 -      Ss                  0 ??         0:00.08 /System/Library/ 10:07PM
  441   528     1     4004   0  31  0 426912480   2032 -      Ss                  0 ??         0:00.01 /usr/libexec/ros 10:07PM
    0   530     1     4004   0   4  0 426950768  11312 -      Ss                  0 ??         0:00.22 /System/Library/ 10:07PM
    0   531     1  1004004   0  37  0 440899792 239824 -      Ss                  0 ??         0:38.38 /System/Library/ 10:07PM
  242   533     1     4004   0  31  0 426916496   2032 -      S                   0 ??         0:00.21 /usr/sbin/distno 10:07PM
    0   535     1     4004   0   4  0 426950864  15536 -      Ss                  0 ??         0:00.10 /System/Library/ 10:07PM
  501   536     1     4004   0  31  0 426916496   4816 -      S                   0 ??         0:02.30 /usr/sbin/distno 10:07PM
